time,gFx,gFy,gFz,TgF
0.558551718,0.0112,0.8816,0.4747,0.988
1.558720094,-0.0102,0.9002,0.4907,1.012
2.558984743,0.0001,0.8640,0.5095,0.990
3.559395754,0.0313,0.8987,0.5164,1.024
4.559760094,0.0036,0.8885,0.5468,1.030
5.560036787,-0.0012,0.9066,0.5565,1.050
6.565144982,-0.0074,0.8522,0.4546,0.953
7.560663049,-0.0122,0.8669,0.4989,0.987
8.561051681,0.0238,0.8478,0.4755,0.959
9.561554082,0.0252,0.8707,0.4509,0.968
10.561688645,0.0031,0.9598,0.5283,1.082
11.561966599,-0.0005,0.8991,0.5005,1.016
12.562411302,-0.0092,0.9090,0.5214,1.035
13.56289348,-0.0918,0.8957,0.4604,0.999
14.56284038,-0.0972,0.8684,0.4645,0.977
15.563344002,-0.1168,0.8615,0.4345,0.960
16.5637059,-0.1113,0.9254,0.4398,1.018
17.563802377,-0.0903,0.9449,0.4435,1.035
18.56889747,-0.0219,0.8769,0.3961,0.950
19.566878916,-0.0284,0.8790,0.4828,0.990
20.564822439,0.0638,0.9175,0.5120,1.039
21.565285737,0.0375,0.8018,0.5339,0.950
22.56564792,0.0162,0.8249,0.5957,1.004
23.565977063,0.0292,0.8858,0.5202,1.014
24.56635247,-0.0129,0.8674,0.6003,1.041
25.566654798,-0.0094,0.8906,0.4905,1.004
26.566969781,-0.0241,0.8813,0.4732,0.988
27.567569675,0.0086,0.9023,0.4700,1.004
28.567834975,-0.0084,0.9086,0.4831,1.016
29.568124323,-0.0250,0.9013,0.4920,1.014
30.571687515,-0.0285,0.8817,0.4717,0.987
31.570817805,-0.0110,0.8670,0.4650,0.971
32.569302262,-0.0065,0.9007,0.4842,1.010
33.569711768,-0.0182,0.9086,0.4920,1.020
34.57039463,-0.0377,0.9076,0.4871,1.018
35.570740333,-0.0402,0.8773,0.4830,0.989
36.571360777,-0.0305,0.8679,0.4495,0.965
37.57165399,0.0037,0.9330,0.4844,1.038
38.572202208,-0.0104,0.9286,0.4937,1.039
39.572498718,-0.0094,0.9261,0.4982,1.039
40.572639628,0.0151,0.8576,0.4163,0.940
41.572902527,-0.0551,0.8844,0.3832,0.953
42.573211569,-0.0595,0.9386,0.3755,1.000
43.57425995,-0.1104,0.9864,0.3144,1.030
44.573856264,-0.0747,0.9339,0.5047,1.051
45.586948509,-0.0362,0.9085,0.5228,1.036
46.574254824,0.0403,0.8504,0.5449,0.997
47.574487206,-0.0296,0.8610,0.4774,0.972
48.574606713,0.0053,0.8572,0.5626,1.012
49.574888941,-0.0050,0.8825,0.5361,1.019
50.575121078,0.0056,0.8867,0.4986,1.004
51.575232976,-0.0023,0.8887,0.5036,1.008
52.575936102,-0.0160,0.8647,0.4853,0.979
53.576264105,0.0055,0.8822,0.5061,1.004
54.576581733,0.0055,0.9086,0.5084,1.028
55.576746609,-0.0112,0.8689,0.4927,0.986
56.577042834,-0.0308,0.9182,0.4564,1.013
57.577359119,-0.0645,0.9435,0.4446,1.032
