Wind Tunnel Setting (Hz)	Air Temperature (degree C)	Manonometer (in. of H20)	Pressure Transducer (V)	Scannivalve Reading (V)	Scannivalve Port #	Velocity (m/s)	Ambient Pressure (kPa)
15.000	31.206	0.236	0.053	0.132	0.000	11.323	96.290
15.000	31.274	0.236	0.053	0.129	1.000	11.289	96.290
15.000	31.354	0.236	0.054	0.117	2.000	11.405	96.290
20.000	32.697	0.500	0.104	0.256	0.000	15.906	96.290
20.000	32.717	0.500	0.104	0.276	1.000	15.893	96.290
20.000	32.761	0.500	0.104	0.272	2.000	15.933	96.290
25.000	31.447	0.855	0.174	0.424	0.000	20.533	96.290
25.000	31.168	0.855	0.173	0.455	1.000	20.516	96.290
25.000	30.988	0.855	0.174	0.454	2.000	20.456	96.290
30.000	32.384	1.324	0.263	0.614	0.000	25.317	96.290
30.000	32.428	1.324	0.263	0.669	1.000	25.319	96.290
30.000	32.471	1.324	0.263	0.660	2.000	25.339	96.290
35.000	32.048	1.872	0.372	0.870	0.000	29.963	96.290
35.000	31.856	1.872	0.374	0.955	1.000	30.007	96.290
35.000	31.721	1.872	0.371	0.933	2.000	30.030	96.290
40.000	33.979	2.522	0.503	1.144	0.000	35.008	96.290
40.000	34.061	2.522	0.501	1.247	1.000	34.993	96.290
40.000	33.973	2.522	0.503	1.240	2.000	35.033	96.290
45.000	31.292	3.312	0.657	1.460	0.000	39.891	96.290
45.000	31.449	3.312	0.657	1.607	1.000	39.889	96.290
45.000	31.585	3.312	0.658	1.589	2.000	39.894	96.290
50.000	32.688	4.122	0.818	1.835	0.000	44.594	96.290
50.000	32.400	4.122	0.819	2.028	1.000	44.598	96.290
50.000	32.119	4.122	0.818	1.995	2.000	44.636	96.290
