Wind Tunnel Setting (Hz)	Air Temperature (degree C)	Dynamic Pressure (Pa)	Angle of Attack (degrees)	Scannivalve Reading (in of H2O)	Scannivalve Port #	Velocity (m/s)	Ambient Pressure (kPa)
40.000	33.792	623.220	-12.000	-0.239	1.000	33.833	95.920
40.000	34.195	623.330	-12.000	-1.334	2.000	33.828	95.920
40.000	34.286	622.487	-12.000	-1.968	3.000	33.854	95.920
40.000	34.365	622.353	-12.000	-2.252	4.000	33.851	95.920
40.000	34.469	623.018	-12.000	-2.441	5.000	33.848	95.920
40.000	34.523	622.661	-12.000	-2.572	6.000	33.815	95.920
40.000	34.591	622.415	-12.000	-2.692	7.000	33.857	95.920
40.000	34.642	621.627	-12.000	-2.782	8.000	33.846	95.920
40.000	34.755	621.726	-12.000	-2.890	9.000	33.868	95.920
40.000	33.457	583.424	-10.000	0.203	1.000	32.725	95.920
40.000	32.915	584.329	-10.000	-0.802	2.000	32.696	95.920
40.000	32.548	582.993	-10.000	-1.526	3.000	32.692	95.920
40.000	32.236	585.267	-10.000	-1.858	4.000	32.682	95.920
40.000	31.920	586.854	-10.000	-2.049	5.000	32.707	95.920
40.000	31.619	585.818	-10.000	-2.168	6.000	32.697	95.920
40.000	31.223	587.522	-10.000	-2.275	7.000	32.665	95.920
40.000	30.687	587.699	-10.000	-2.333	8.000	32.667	95.920
40.000	30.215	588.427	-10.000	-2.373	9.000	32.674	95.920
40.000	29.776	607.312	-8.000	-0.003	1.000	33.172	95.920
40.000	29.975	605.977	-8.000	-1.116	2.000	33.142	95.920
40.000	30.106	605.280	-8.000	-1.779	3.000	33.163	95.920
40.000	30.268	605.651	-8.000	-2.045	4.000	33.150	95.920
40.000	30.418	605.483	-8.000	-2.172	5.000	33.154	95.920
40.000	30.572	605.220	-8.000	-2.244	6.000	33.163	95.920
40.000	30.763	604.462	-8.000	-2.292	7.000	33.137	95.920
40.000	31.005	604.832	-8.000	-2.293	8.000	33.159	95.920
40.000	31.272	602.389	-8.000	-2.263	9.000	33.150	95.920
40.000	33.295	633.824	-4.000	-0.952	1.000	34.101	95.920
40.000	33.390	631.683	-4.000	-1.992	2.000	34.075	95.920
40.000	33.511	632.306	-4.000	-2.421	3.000	34.070	95.920
40.000	33.606	632.329	-4.000	-2.526	4.000	34.080	95.920
40.000	33.683	632.362	-4.000	-2.540	5.000	34.036	95.920
40.000	33.778	632.517	-4.000	-2.523	6.000	34.071	95.920
40.000	33.869	632.194	-4.000	-2.483	7.000	34.107	95.920
40.000	33.943	630.769	-4.000	-2.398	8.000	34.093	95.920
40.000	34.046	630.513	-4.000	-2.308	9.000	34.061	95.920
40.000	34.705	678.089	0.000	-2.908	1.000	35.341	95.920
40.000	34.767	678.702	0.000	-3.389	2.000	35.291	95.920
40.000	34.452	679.461	0.000	-3.382	3.000	35.376	95.920
40.000	34.023	678.381	0.000	-3.250	4.000	35.328	95.920
40.000	33.381	678.624	0.000	-3.120	5.000	35.266	95.920
40.000	32.969	677.881	0.000	-2.985	6.000	35.292	95.920
40.000	32.743	679.965	0.000	-2.871	7.000	35.306	95.920
40.000	32.462	679.649	0.000	-2.733	8.000	35.250	95.920
40.000	32.304	678.895	0.000	-2.629	9.000	35.249	95.920
40.000	30.351	736.058	4.000	-5.707	1.000	36.565	95.920
40.000	30.437	736.733	4.000	-5.041	2.000	36.577	95.920
40.000	30.527	737.308	4.000	-4.198	3.000	36.587	95.920
40.000	30.570	736.374	4.000	-4.038	4.000	36.599	95.920
40.000	30.651	737.683	4.000	-3.787	5.000	36.607	95.920
40.000	30.755	737.434	4.000	-3.374	6.000	36.607	95.920
40.000	30.839	736.673	4.000	-2.917	7.000	36.625	95.920
40.000	30.915	736.544	4.000	-2.794	8.000	36.621	95.920
40.000	31.050	736.707	4.000	-2.675	9.000	36.621	95.920
40.000	33.714	770.899	8.000	-8.393	1.000	37.633	95.920
40.000	33.790	771.995	8.000	-6.135	2.000	37.656	95.920
40.000	33.847	771.052	8.000	-5.101	3.000	37.647	95.920
40.000	33.909	770.951	8.000	-4.453	4.000	37.638	95.920
40.000	33.970	772.533	8.000	-3.984	5.000	37.614	95.920
40.000	34.010	771.226	8.000	-3.592	6.000	37.666	95.920
40.000	34.067	771.051	8.000	-3.275	7.000	37.638	95.920
40.000	34.128	771.764	8.000	-2.956	8.000	37.653	95.920
40.000	34.146	770.780	8.000	-2.657	9.000	37.640	95.920
40.000	33.858	792.463	10.000	-10.623	1.000	38.136	95.920
40.000	33.488	791.104	10.000	-6.478	2.000	38.111	95.920
40.000	33.161	792.139	10.000	-5.525	3.000	38.101	95.920
40.000	32.922	792.728	10.000	-4.727	4.000	38.109	95.920
40.000	32.764	793.140	10.000	-4.152	5.000	38.105	95.920
