Wind Tunnel Setting (Hz)	Air Temperature (degree C)	Dynamic Pressure (Pa)	Angle of Attack (degrees)	Scannivalve Reading (in of H2O)	Scannivalve Port #	Velocity (m/s)	Ambient Pressure (kPa)
40.000	33.642	715.579	0.000	0.447	1.000	36.213	95.920
40.000	33.828	716.912	0.000	-3.131	2.000	36.266	95.920
40.000	33.923	714.567	0.000	-2.691	3.000	36.234	95.920
40.000	34.004	714.567	0.000	-2.391	4.000	36.258	95.920
40.000	34.100	714.499	0.000	-2.297	5.000	36.264	95.920
40.000	34.183	713.183	0.000	-2.188	6.000	36.233	95.920
40.000	34.229	715.776	0.000	-2.111	7.000	36.238	95.920
40.000	30.236	770.143	4.000	-0.360	1.000	37.393	95.920
40.000	30.382	770.605	4.000	-1.930	2.000	37.399	95.920
40.000	30.501	769.525	4.000	-1.947	3.000	37.368	95.920
40.000	30.579	770.403	4.000	-1.861	4.000	37.427	95.920
40.000	30.676	769.176	4.000	-1.860	5.000	37.426	95.920
40.000	30.791	769.900	4.000	-1.875	6.000	37.393	95.920
40.000	30.949	769.630	4.000	-1.874	7.000	37.413	95.920
40.000	33.078	805.545	8.000	-4.678	1.000	38.443	95.920
40.000	33.172	807.699	8.000	-0.921	2.000	38.460	95.920
40.000	33.296	804.152	8.000	-1.239	3.000	38.470	95.920
40.000	33.388	806.842	8.000	-1.330	4.000	38.426	95.920
40.000	33.483	804.568	8.000	-1.423	5.000	38.466	95.920
40.000	33.623	806.455	8.000	-1.546	6.000	38.434	95.920
40.000	33.747	806.629	8.000	-1.639	7.000	38.454	95.920
40.000	34.235	820.429	10.000	-7.210	1.000	38.794	95.920
40.000	34.289	820.524	10.000	-0.628	2.000	38.927	95.920
40.000	34.384	820.350	10.000	-1.036	3.000	38.885	95.920
40.000	34.443	820.227	10.000	-1.177	4.000	38.800	95.920
40.000	34.561	819.759	10.000	-1.307	5.000	38.834	95.920
40.000	34.628	819.989	10.000	-1.462	6.000	38.803	95.920
40.000	34.703	819.016	10.000	-1.590	7.000	38.855	95.920
40.000	34.260	840.518	14.000	-10.624	1.000	39.313	95.920
40.000	33.935	841.328	14.000	-0.344	2.000	39.270	95.920
40.000	33.555	840.016	14.000	-0.851	3.000	39.230	95.920
40.000	33.321	839.379	14.000	-1.058	4.000	39.259	95.920
40.000	33.061	841.191	14.000	-1.257	5.000	39.266	95.920
40.000	32.625	841.149	14.000	-1.506	6.000	39.201	95.920
40.000	32.337	840.767	14.000	-1.740	7.000	39.234	95.920
