Wind Tunnel Setting (Hz)	Air Temperature (degree C)	Dynamic Pressure (Pa)	Angle of Attack (degrees)	Scannivalve Reading (in of H2O)	Scannivalve Port #	Velocity (m/s)	Ambient Pressure (kPa)
40.000	34.548	713.529	0.000	0.429	1.000	36.246	95.920
40.000	34.613	713.693	0.000	-2.977	2.000	36.287	95.920
40.000	34.617	714.424	0.000	-3.667	3.000	36.296	95.920
40.000	34.658	714.826	0.000	-4.174	4.000	36.298	95.920
40.000	34.731	714.310	0.000	-4.193	5.000	36.251	95.920
40.000	34.732	713.415	0.000	-4.038	6.000	36.267	95.920
40.000	34.522	713.164	0.000	-3.595	7.000	36.246	95.920
40.000	32.706	713.020	0.000	-3.345	8.000	36.180	95.920
40.000	30.333	771.884	4.000	-0.532	1.000	37.447	95.920
40.000	30.445	772.384	4.000	-5.342	2.000	37.445	95.920
40.000	30.535	772.554	4.000	-5.442	3.000	37.432	95.920
40.000	30.628	771.585	4.000	-5.371	4.000	37.467	95.920
40.000	30.755	771.940	4.000	-5.058	5.000	37.473	95.920
40.000	30.880	770.022	4.000	-4.679	6.000	37.424	95.920
40.000	31.032	770.481	4.000	-4.276	7.000	37.464	95.920
40.000	31.191	770.974	4.000	-2.977	8.000	37.467	95.920
40.000	33.748	803.604	8.000	-4.669	1.000	38.416	95.920
40.000	33.809	805.317	8.000	-7.713	2.000	38.491	95.920
40.000	33.875	804.881	8.000	-7.037	3.000	38.410	95.920
40.000	33.941	802.770	8.000	-6.322	4.000	38.394	95.920
40.000	34.013	803.681	8.000	-5.794	5.000	38.382	95.920
40.000	34.082	804.974	8.000	-5.367	6.000	38.396	95.920
40.000	34.127	803.900	8.000	-3.975	7.000	38.402	95.920
40.000	34.202	799.329	8.000	-2.949	8.000	38.397	95.920
40.000	34.177	818.904	10.000	-7.279	1.000	38.789	95.920
40.000	33.791	817.718	10.000	-8.811	2.000	38.818	95.920
40.000	33.454	817.075	10.000	-7.766	3.000	38.781	95.920
40.000	33.157	819.021	10.000	-6.872	4.000	38.736	95.920
40.000	32.904	820.357	10.000	-5.824	5.000	38.757	95.920
40.000	32.706	819.805	10.000	-5.183	6.000	38.779	95.920
40.000	32.524	819.353	10.000	-3.983	7.000	38.785	95.920
40.000	32.407	817.666	10.000	-2.870	8.000	38.668	95.920
40.000	30.406	847.686	14.000	-10.624	1.000	39.221	95.920
40.000	30.468	848.885	14.000	-10.624	2.000	39.235	95.920
40.000	30.554	848.740	14.000	-7.053	3.000	39.233	95.920
40.000	30.610	847.552	14.000	-6.786	4.000	39.249	95.920
40.000	30.697	847.626	14.000	-5.686	5.000	39.271	95.920
40.000	30.762	847.267	14.000	-4.701	6.000	39.250	95.920
40.000	30.878	846.579	14.000	-3.184	7.000	39.268	95.920
40.000	30.977	847.452	14.000	-3.005	8.000	39.233	95.920
