Air Temperature (degree C)	Dynamic Pressure (Pa)	Hotwire Output (V)	Static Pressure Drop Test Section (In of H2O)	Air Velocity (m/s)	Hotwire Position (steps)
33.224	674.987	3.429	-0.077	35.072	0.000
33.658	673.414	3.425	-0.077	35.056	400.000
34.002	671.194	3.419	-0.077	35.018	800.000
34.234	669.870	3.414	-0.077	34.997	1200.000
32.937	669.509	3.413	-0.077	34.913	1600.000
31.895	670.399	3.420	-0.077	34.877	2000.000
30.916	674.618	3.431	-0.077	34.931	2401.000
31.193	673.709	3.430	-0.077	34.923	2800.000
31.696	674.843	3.427	-0.077	34.981	3200.000
32.534	672.638	3.422	-0.077	34.972	3600.000
33.102	671.953	3.419	-0.077	34.987	4000.000
33.945	668.636	3.412	-0.077	34.948	4200.000
34.256	669.791	3.407	-0.077	34.996	4400.000
32.634	671.849	3.401	-0.077	34.957	4600.000
31.232	672.627	3.397	-0.077	34.897	4800.000
31.207	674.792	3.380	-0.077	34.952	5000.000
32.015	673.694	3.353	-0.077	34.970	5204.000
33.286	672.230	3.334	-0.077	35.004	5300.000
33.525	670.611	3.318	-0.077	34.976	5400.000
33.717	669.512	3.304	-0.077	34.958	5502.000
33.979	670.435	3.292	-0.077	34.997	5600.000
34.192	670.763	3.287	-0.077	35.018	5700.000
34.328	669.671	3.291	-0.077	34.997	5800.000
33.697	670.703	3.306	-0.077	34.988	5900.000
32.791	671.461	3.328	-0.077	34.956	6000.000
32.011	671.172	3.385	-0.077	34.904	6200.000
31.036	676.240	3.424	-0.077	34.979	6400.000
31.123	674.412	3.432	-0.077	34.937	6600.000
31.474	675.665	3.432	-0.077	34.990	6800.000
31.851	675.993	3.432	-0.077	35.020	7000.000
32.385	674.846	3.430	-0.077	35.021	7200.000
33.408	672.010	3.425	-0.077	35.005	7600.000
34.204	670.823	3.421	-0.077	35.020	8006.000
33.242	671.709	3.423	-0.077	34.988	8400.000
32.019	673.260	3.433	-0.077	34.959	8800.000
30.935	676.587	3.444	-0.077	34.983	9200.000
31.458	675.998	3.443	-0.077	34.997	9600.000
32.240	675.068	3.439	-0.077	35.018	10000.000
33.410	673.387	3.434	-0.077	35.041	11000.000
34.008	671.787	3.431	-0.077	35.034	12000.000
34.019	671.399	3.431	-0.077	35.024	13000.000
32.451	671.086	3.438	-0.077	34.927	14000.000
