Air Temperature (degree C)	Dynamic Pressure (Pa)	Hotwire Output (V)	Static Pressure Drop Test Section (In of H2O)	Air Velocity (m/s)	Hotwire Position (steps)
28.808	703.138	3.467	-0.077	35.455	0.000
29.207	701.690	3.463	-0.077	35.442	435.000
29.463	700.023	3.460	-0.077	35.415	800.000
29.666	697.561	3.457	-0.077	35.364	1206.000
29.298	696.299	3.455	-0.077	35.311	1601.000
28.730	692.246	3.455	-0.077	35.175	2018.000
28.225	693.511	3.458	-0.077	35.177	2400.000
27.682	697.310	3.463	-0.077	35.242	2800.000
27.291	697.784	3.465	-0.077	35.231	3200.000
27.072	696.479	3.466	-0.077	35.185	3400.000
26.974	698.096	3.467	-0.077	35.220	3600.000
26.940	697.559	3.466	-0.077	35.204	3804.000
27.155	699.082	3.463	-0.077	35.256	4000.000
27.406	696.330	3.456	-0.077	35.201	4200.000
27.674	696.497	3.450	-0.077	35.221	4300.000
27.835	698.558	3.444	-0.077	35.282	4400.000
28.029	696.297	3.435	-0.077	35.236	4500.000
28.212	696.959	3.424	-0.077	35.264	4600.000
28.434	695.006	3.411	-0.077	35.227	4700.000
28.594	696.726	3.398	-0.077	35.280	4802.000
28.567	696.568	3.386	-0.077	35.275	4900.000
28.504	695.876	3.376	-0.077	35.254	5000.000
28.430	695.649	3.372	-0.077	35.243	5100.000
28.350	696.690	3.376	-0.077	35.265	5200.000
28.168	695.890	3.387	-0.077	35.234	5300.000
27.954	696.532	3.402	-0.077	35.238	5400.000
27.461	696.657	3.437	-0.077	35.212	5601.000
27.195	698.344	3.459	-0.077	35.239	5800.000
27.087	700.816	3.465	-0.077	35.295	6000.000
27.089	700.453	3.467	-0.077	35.286	6200.000
27.293	698.891	3.466	-0.077	35.259	6400.000
27.665	696.870	3.464	-0.077	35.230	6823.000
28.015	697.831	3.464	-0.077	35.274	7203.000
28.416	696.389	3.462	-0.077	35.261	7603.000
28.557	698.367	3.463	-0.077	35.320	8000.000
28.467	697.827	3.463	-0.077	35.301	8402.000
28.329	697.737	3.465	-0.077	35.290	8800.000
27.987	699.400	3.468	-0.077	35.312	9200.000
27.533	698.197	3.472	-0.077	35.255	9602.000
27.263	699.007	3.475	-0.077	35.260	10000.000
27.147	699.963	3.478	-0.077	35.277	11000.000
27.353	702.794	3.479	-0.077	35.361	12000.000
27.789	699.961	3.476	-0.077	35.315	13003.000
28.111	697.941	3.475	-0.077	35.283	14000.000
