n, dy(mm), F(kN)
1,     0.112168,     0.008590
2,     0.112508,     0.008720
3,     0.111996,     0.008590
4,     0.112678,     0.008590
5,     0.111996,     0.008590
6,     0.112678,     0.008590
7,     0.112508,     0.008590
8,     0.113020,     0.008590
9,     0.112338,     0.008590
10,     0.113020,     0.008590
11,     0.112678,     0.008590
12,     0.112848,     0.008590
13,     0.112848,     0.008590
14,     0.112848,     0.008590
15,     0.112678,     0.008590
16,     0.112508,     0.008590
17,     0.112678,     0.008590
18,     0.112508,     0.008590
19,     0.112338,     0.008590
20,     0.112338,     0.008590
21,     0.112848,     0.008590
22,     0.112338,     0.008590
23,     0.112678,     0.008590
24,     0.112338,     0.008720
25,     0.112508,     0.008720
26,     0.112848,     0.008720
27,     0.111996,     0.008720
28,     0.112848,     0.008720
29,     0.112338,     0.008720
30,     0.112848,     0.008720
31,     0.112848,     0.008720
32,     0.112848,     0.008850
33,     0.112848,     0.008990
34,     0.112338,     0.009660
35,     0.113190,     0.010330
36,     0.112508,     0.010060
37,     0.113020,     0.009930
38,     0.112508,     0.009930
39,     0.112678,     0.009930
40,     0.112508,     0.009930
41,     0.112338,     0.010060
42,     0.113020,     0.010060
43,     0.112508,     0.010060
44,     0.113190,     0.009930
45,     0.112848,     0.009660
46,     0.113360,     0.009790
47,     0.113020,     0.010870
48,     0.113360,     0.011270
49,     0.113530,     0.011400
50,     0.113020,     0.011540
51,     0.113190,     0.011540
52,     0.112848,     0.011540
53,     0.113190,     0.011540
54,     0.112508,     0.011540
55,     0.113190,     0.011540
56,     0.112508,     0.011400
57,     0.113020,     0.011400
58,     0.113360,     0.011540
59,     0.112848,     0.011540
60,     0.113190,     0.011540
61,     0.112678,     0.011540
62,     0.113530,     0.011540
63,     0.113020,     0.011540
64,     0.113872,     0.011540
65,     0.113190,     0.011540
66,     0.113360,     0.011540
67,     0.113360,     0.011540
68,     0.113020,     0.011540
69,     0.113360,     0.011540
70,     0.112678,     0.011540
71,     0.113190,     0.011540
72,     0.112848,     0.011540
73,     0.112848,     0.011540
74,     0.113190,     0.011540
75,     0.112678,     0.011540
76,     0.113530,     0.011540
77,     0.112848,     0.011540
78,     0.113360,     0.011540
79,     0.113190,     0.011540
80,     0.112848,     0.011540
81,     0.113702,     0.011540
82,     0.113190,     0.011540
83,     0.113360,     0.011670
84,     0.113190,     0.011810
85,     0.113020,     0.011940
86,     0.112848,     0.012080
87,     0.112848,     0.012340
88,     0.113190,     0.012080
89,     0.112678,     0.012080
90,     0.113190,     0.012080
91,     0.112848,     0.012210
92,     0.113360,     0.012080
93,     0.113020,     0.012210
94,     0.112848,     0.012210
95,     0.113360,     0.012210
96,     0.113360,     0.012210
97,     0.113530,     0.012210
98,     0.113360,     0.012210
99,     0.113530,     0.012210
100,     0.113020,     0.012210
101,     0.113360,     0.012340
102,     0.113190,     0.012210
103,     0.113020,     0.012210
104,     0.113190,     0.012210
105,     0.112678,     0.012210
106,     0.113360,     0.012210
107,     0.112678,     0.012210
108,     0.113190,     0.012210
109,     0.112678,     0.012210
110,     0.113190,     0.012340
111,     0.113020,     0.012210
112,     0.113190,     0.012210
113,     0.113530,     0.012210
114,     0.113190,     0.012340
115,     0.113702,     0.012210
116,     0.113020,     0.012210
117,     0.113702,     0.012340
118,     0.113020,     0.012340
119,     0.113360,     0.012340
120,     0.112848,     0.012340
121,     0.112848,     0.012480
122,     0.113020,     0.012610
123,     0.112508,     0.012750
124,     0.113190,     0.012750
125,     0.112848,     0.012880
126,     0.113190,     0.013280
127,     0.112508,     0.014090
128,     0.113530,     0.015030
129,     0.113360,     0.015830
130,     0.113190,     0.017310
131,     0.113360,     0.019190
132,     0.113530,     0.021200
133,     0.113702,     0.023220
134,     0.113530,     0.026170
135,     0.114042,     0.029930
136,     0.113530,     0.033420
137,     0.113872,     0.036910
138,     0.113872,     0.041200
139,     0.114383,     0.046440
140,     0.114042,     0.052750
141,     0.114724,     0.059460
142,     0.114554,     0.066840
143,     0.115065,     0.075570
144,     0.115576,     0.084020
145,     0.115917,     0.092080
146,     0.116258,     0.100670
147,     0.116770,     0.111140
148,     0.117281,     0.120670
149,     0.117452,     0.129390
150,     0.118133,     0.138520
151,     0.117792,     0.148320
152,     0.118645,     0.158920
153,     0.118304,     0.165900
154,     0.119156,     0.178250
155,     0.119156,     0.189930
156,     0.119838,     0.201740
157,     0.119667,     0.213020
158,     0.120691,     0.221870
159,     0.120520,     0.236910
160,     0.120861,     0.249530
161,     0.121543,     0.262410
162,     0.121543,     0.272210
163,     0.122565,     0.290060
164,     0.122395,     0.303080
165,     0.123589,     0.314220
166,     0.123417,     0.326570
167,     0.124441,     0.340930
168,     0.124441,     0.355970
169,     0.124953,     0.369930
170,     0.125293,     0.383220
171,     0.125463,     0.397710
172,     0.125975,     0.410870
173,     0.125975,     0.424420
174,     0.126827,     0.438520
175,     0.126657,     0.454490
176,     0.128021,     0.473280
177,     0.127850,     0.488320
178,     0.129043,     0.502550
179,     0.129214,     0.517310
180,     0.129896,     0.532880
181,     0.130407,     0.549260
182,     0.130748,     0.566440
183,     0.131942,     0.584160
184,     0.132282,     0.601070
185,     0.133306,     0.616370
186,     0.133306,     0.630870
187,     0.134158,     0.648320
188,     0.134498,     0.667110
189,     0.135180,     0.684560
190,     0.135692,     0.701200
191,     0.135862,     0.717040
192,     0.137056,     0.734220
193,     0.136884,     0.749790
194,     0.137737,     0.765630
195,     0.138248,     0.784960
196,     0.139101,     0.801870
197,     0.139612,     0.817980
198,     0.140294,     0.835160
199,     0.141147,     0.852880
200,     0.141487,     0.868450
201,     0.142681,     0.884020
202,     0.142851,     0.900930
203,     0.144045,     0.919460
204,     0.144215,     0.936370
205,     0.144897,     0.952480
206,     0.145409,     0.969790
207,     0.146601,     0.982550
208,     0.146771,     1.005360
209,     0.147113,     1.022140
210,     0.148307,     1.038250
211,     0.148477,     1.051000
212,     0.149841,     1.072480
213,     0.150181,     1.087240
214,     0.151204,     1.101340
215,     0.151204,     1.112080
216,     0.153079,     1.132210
217,     0.153932,     1.145630
218,     0.154954,     1.158380
219,     0.156148,     1.171140
220,     0.156318,     1.183220
221,     0.158022,     1.194630
222,     0.158704,     1.206040
223,     0.160750,     1.216770
224,     0.161602,     1.224160
225,     0.162966,     1.233550
226,     0.164841,     1.240930
227,     0.166035,     1.249660
