n, dy(mm), F(kN)
1,     2.421492,     0.006300
2,     2.422344,     0.006170
3,     2.421492,     0.006300
4,     2.421492,     0.006300
5,     2.422344,     0.006300
6,     2.422344,     0.006300
7,     2.422344,     0.006300
8,     2.421492,     0.006300
9,     2.421492,     0.006300
10,     2.421492,     0.006300
11,     2.422344,     0.006300
12,     2.421492,     0.006300
13,     2.421492,     0.006300
14,     2.421492,     0.006300
15,     2.422344,     0.006300
16,     2.422344,     0.006170
17,     2.422344,     0.006170
18,     2.421492,     0.006170
19,     2.422344,     0.006300
20,     2.422344,     0.006300
21,     2.422344,     0.006300
22,     2.422344,     0.006300
23,     2.422344,     0.006300
24,     2.421492,     0.006300
25,     2.421492,     0.006300
26,     2.421492,     0.006300
27,     2.421492,     0.006300
28,     2.421492,     0.006170
29,     2.421492,     0.006300
30,     2.422344,     0.006300
31,     2.422344,     0.006300
32,     2.422344,     0.006300
33,     2.422344,     0.006170
34,     2.422344,     0.006300
35,     2.423197,     0.005770
36,     2.422344,     0.005360
37,     2.422344,     0.005500
38,     2.421492,     0.005630
39,     2.429163,     0.007780
40,     2.292789,     0.005230
41,     2.251876,     0.006040
42,     2.214373,     0.005900
43,     2.039644,     0.006170
44,     2.064362,     0.006170
45,     1.942477,     0.006570
46,     1.755816,     0.005630
47,     1.755816,     0.006710
48,     1.724279,     0.005630
49,     1.674844,     0.006170
50,     1.812070,     0.008450
51,     1.838492,     0.006710
52,     1.838492,     0.007110
53,     1.855540,     0.005500
54,     1.861506,     0.005500
55,     1.863210,     0.006840
56,     1.865767,     0.005360
57,     1.865767,     0.006300
58,     1.869177,     0.007240
59,     1.633079,     0.006300
60,     1.565745,     0.004160
61,     1.494149,     0.004560
62,     1.473691,     0.003750
63,     1.454088,     0.005900
64,     1.503524,     0.005630
65,     1.500967,     0.005360
66,     1.477953,     0.006040
67,     1.471135,     0.006040
68,     1.468578,     0.006040
69,     1.481364,     0.005360
70,     1.479658,     0.005230
71,     1.482216,     0.005100
72,     1.483068,     0.005230
73,     1.481364,     0.004960
74,     1.458350,     0.004960
75,     0.357981,     0.004960
76,     0.363948,     0.005100
77,     0.371618,     0.005100
78,     0.388666,     0.004830
79,     0.438954,     0.005360
80,     0.661413,     0.007510
81,     0.665846,     0.007380
82,     0.665846,     0.005770
83,     0.661413,     0.005500
84,     0.616751,     0.005900
85,     0.608228,     0.006570
86,     0.612659,     0.006570
87,     0.617092,     0.006440
88,     0.615387,     0.006570
89,     0.621866,     0.006440
90,     0.631071,     0.007240
91,     0.619478,     0.006440
92,     0.607887,     0.007650
93,     0.609251,     0.006170
94,     0.609251,     0.006300
95,     0.608569,     0.007380
96,     0.613001,     0.006710
97,     0.613001,     0.005770
98,     0.536631,     0.006710
99,     0.215471,     0.004960
100,     0.214107,     0.005360
101,     0.208652,     0.004830
102,     0.233199,     0.006570
103,     0.275134,     0.006300
104,     0.274794,     0.006570
105,     0.228426,     0.006170
106,     0.215981,     0.006970
107,     0.221607,     0.006440
108,     0.224335,     0.006440
109,     0.185127,     0.006840
110,     0.166887,     0.007110
111,     0.166205,     0.006710
112,     0.165353,     0.006300
113,     0.165694,     0.006170
114,     0.168251,     0.006300
115,     0.168251,     0.006300
116,     0.166887,     0.007380
117,     0.184956,     0.006300
118,     0.195185,     0.005900
119,     0.191947,     0.005770
120,     0.238995,     0.005360
121,     0.219903,     0.005500
122,     0.134668,     0.005500
123,     0.147625,     0.006040
124,     0.144727,     0.005900
125,     0.143363,     0.006300
126,     0.141658,     0.006170
127,     0.137226,     0.004690
128,     0.133306,     0.004290
129,     0.130237,     0.004160
130,     0.135692,     0.006970
131,     0.126487,     0.005900
132,     0.120691,     0.005100
133,     0.124099,     0.005230
134,     0.126487,     0.005230
135,     0.120691,     0.006040
136,     0.125463,     0.004830
137,     0.120009,     0.005230
138,     0.116599,     0.005770
139,     0.117963,     0.005500
140,     0.118815,     0.005630
141,     0.115917,     0.005630
142,     0.113190,     0.005630
143,     0.118645,     0.006710
144,     0.118815,     0.005900
145,     0.114894,     0.005630
146,     0.115576,     0.006440
147,     0.113872,     0.005360
148,     0.117281,     0.005360
149,     0.111314,     0.005630
150,     0.107394,     0.005770
151,     0.106371,     0.005770
152,     0.120520,     0.006970
153,     0.119667,     0.006840
154,     0.123417,     0.006300
155,     0.119667,     0.005630
156,     0.116770,     0.005360
157,     0.118304,     0.005770
158,     0.118474,     0.006570
159,     0.123077,     0.006710
160,     0.118645,     0.006040
161,     0.114383,     0.006040
162,     0.116599,     0.006440
163,     0.118986,     0.006840
164,     0.119497,     0.006300
165,     0.118815,     0.006040
166,     0.120349,     0.006300
167,     0.118133,     0.006300
168,     0.117792,     0.006710
169,     0.119156,     0.006170
170,     0.120009,     0.005770
171,     0.116088,     0.005360
172,     0.116429,     0.005500
173,     0.117281,     0.005770
174,     0.118645,     0.005900
175,     0.117792,     0.006040
176,     0.116429,     0.005100
177,     0.116429,     0.006300
178,     0.113872,     0.005770
179,     0.122565,     0.006040
180,     0.116088,     0.006840
181,     0.121713,     0.006040
182,     0.129725,     0.005100
183,     0.125123,     0.005230
184,     0.124611,     0.005230
185,     0.124953,     0.005230
186,     0.124611,     0.005230
187,     0.124953,     0.005230
188,     0.124611,     0.005230
189,     0.124953,     0.005230
190,     0.124953,     0.005230
191,     0.124781,     0.005230
192,     0.124953,     0.005230
193,     0.125293,     0.005230
194,     0.125293,     0.005230
195,     0.125123,     0.005230
196,     0.125293,     0.005230
197,     0.125293,     0.005230
198,     0.124441,     0.005230
199,     0.124953,     0.005230
200,     0.124441,     0.005230
201,     0.124099,     0.005230
202,     0.124611,     0.005230
203,     0.124781,     0.005360
204,     0.125633,     0.005230
205,     0.125123,     0.005230
206,     0.125633,     0.005230
207,     0.124611,     0.005230
208,     0.125293,     0.005230
209,     0.124441,     0.005230
210,     0.124781,     0.005360
211,     0.124611,     0.005500
212,     0.124611,     0.005630
213,     0.124611,     0.006440
214,     0.124953,     0.008990
215,     0.124953,     0.009120
216,     0.124271,     0.009120
217,     0.124271,     0.009120
218,     0.124781,     0.009120
219,     0.124781,     0.009120
220,     0.124611,     0.009120
